Title,Artist,Year,Position,Ave BPM,Ave Pitch STD,Ave Pitch Value,Pitch Variation,Pitch Range,Mode Polarity,Note Onset Density
Goodnight Irene,Gordon Jenkins & The Weavers,1950,1,0.047619047619047616,3.11,0.17315221049411036,0.5,0.7241379310344828,1.0,-0.5363128491620112
Mona Lisa,Nat King Cole,1950,2,-0.7575757575757576,4.115,-0.496504311787558,0.34615384615384615,0.24137931034482757,1.0,-0.5977653631284915
Third Man Theme,Anton Karas,1950,3,0.5204081632653061,5.047142857142857,0.24063135907061411,0.5384615384615385,0.5517241379310345,1.0,0.09862218999274844
Sam's Song,Gary & Bing Crosby,1950,4,0.3333333333333333,3.045,0.1703654708726567,0.42307692307692313,0.3103448275862069,-1.0,-0.34078212290502796
Simple Melody,Gary & Bing Crosby,1950,5,0.7261904761904762,3.065,-0.41121204625109864,0.2692307692307693,0.1724137931034483,1.0,-0.27932960893854747
Too Young,Nat King Cole,1951,1,0.07142857142857142,3.4400000000000004,-0.5017068134893321,0.07692307692307693,0.034482758620689655,1.0,-0.9217877094972066
Because of You,Tony Bennett,1951,2,-0.18181818181818182,3.59,-0.0979516658580887,0.2692307692307693,0.10344827586206896,1.0,-0.88268156424581
How High the Moon,Les Paul & Mary Ford,1951,3,0.34523809523809523,3.76,-0.1808201084976314,0.3076923076923077,0.24137931034482757,-1.0,-0.28770949720670386
Come on-a My House,Rosemary Clooney,1951,4,0.023809523809523808,2.51,0.09760259584122467,0.07692307692307693,0.0,-1.0,0.4162436548223352
Be My Love,Mario Lanza,1951,5,-0.09090909090909091,4.19,-0.07505849965588417,0.46153846153846156,0.27586206896551724,1.0,-0.3966480446927374
Blue Tango,Leroy Anderson,1952,1,0.40476190476190477,5.266666666666667,0.4454368816769752,0.46153846153846156,0.6896551724137931,1.0,-0.16759776536312837
Wheel of Fortune,Kay Starr,1952,2,0.6071428571428571,2.7266666666666666,0.26689961332067147,0.07692307692307693,0.06896551724137931,1.0,-0.7076350093109869
Cry,Johnnie Ray & The Four Lads,1952,3,-0.6060606060606061,4.265000000000001,-0.036357139075652536,0.23076923076923078,0.13793103448275862,1.0,-0.7793296089385474
You Belong to Me,Jo Stafford,1952,4,0.14285714285714285,3.32,0.1796610745669946,0.34615384615384615,0.1724137931034483,1.0,-0.8966480446927374
Auf Wiederseh’n Sweetheart,Vera Lynn,1952,5,-0.21212121212121213,2.665,0.016911973600821795,0.2692307692307693,0.41379310344827586,1.0,-0.7932960893854748
The Song from Moulin Rouge,Percy Faith,1953,1,0.22619047619047616,4.1433333333333335,0.6231488904199467,0.8076923076923077,0.7241379310344828,-1.0,-0.64804469273743
Vaya con Dios,Les Paul & Mary Ford,1953,2,0.08333333333333333,2.296666666666667,-0.1665916671078408,0.2692307692307693,0.10344827586206896,1.0,-0.6014897579143388
(How Much Is) That Doggie in the Window,Patti Page,1953,3,0.42857142857142855,3.255,0.16679199155978158,0.38461538461538464,0.20689655172413793,1.0,-0.5251396648044692
I'm Walking Behind You,Eddie Fisher,1953,4,-0.21212121212121213,4.23,-0.4481662808400592,0.15384615384615385,0.24137931034482757,1.0,-0.8603351955307262
"You, You, You",Ames Brothers,1953,5,0.09523809523809523,3.625,-0.5148749713236977,0.15384615384615385,0.13793103448275862,1.0,-0.659217877094972
Little Things Mean a Lot,Kitty Kallen,1954,1,-0.18181818181818182,2.87,0.032810407320339824,0.15384615384615385,0.034482758620689655,1.0,-0.4692737430167598
Wanted,Perry Como,1954,2,-0.4545454545454546,3.31,-0.5345985816451716,0.2692307692307693,0.10344827586206896,-1.0,-0.6089385474860335
Hey There,Rosemary Clooney,1954,3,-0.06060606060606061,2.9266666666666663,0.11258096184378384,0.23076923076923078,0.034482758620689655,-1.0,-0.7057728119180633
Sh-Boom,The Crew-Cut,1954,4,0.47619047619047616,2.43,-0.16569025043654306,0.11538461538461539,0.10344827586206896,-1.0,0.16243654822335044
Make Love to Me,Jo Stafford,1954,5,0.21428571428571427,2.795,0.20965683303614063,0.11538461538461539,0.06896551724137931,1.0,-0.24301675977653633
Cherry Pink and Apple Blossom White,Perez Prado,1955,1,0.3333333333333333,3.2625,0.41524194250743346,0.42307692307692313,0.48275862068965514,1.0,0.0647208121827411
