Title,Artist,Year,Position,Ave BPM,Ave Pitch STD,Ave Pitch Value,Pitch Variation,Pitch Range,Mode Polarity,Note Onset Density
Goodnight Irene,Gordon Jenkins & The Weavers,1950,1,94.0,3.11,63.748,20,33,1.0,1.54
Mona Lisa,Nat King Cole,1950,2,65.0,4.115,54.97267759562842,16,19,1.0,1.4300000000000002
Third Man Theme,Anton Karas,1950,3,133.71428571428572,5.047142857142857,65.20863309352518,21,28,1.0,2.6942857142857144
Sam's Song,Gary & Bing Crosby,1950,4,118.0,3.045,63.68767908309456,18,21,-1.0,1.8900000000000001
Simple Melody,Gary & Bing Crosby,1950,5,151.0,3.065,55.836298932384345,14,17,1.0,2.0
Too Young,Nat King Cole,1951,1,96.0,3.4400000000000004,54.92,9,13,1.0,0.8500000000000001
Because of You,Tony Bennett,1951,2,84.0,3.59,59.00819672131148,14,15,1.0,0.9199999999999999
How High the Moon,Les Paul & Mary Ford,1951,3,119.0,3.76,58.169117647058826,15,19,-1.0,1.9849999999999999
Come on-a My House,Rosemary Clooney,1951,4,92.0,2.51,62.11267605633803,9,12,-1.0,3.3200000000000003
Be My Love,Mario Lanza,1951,5,87.0,4.19,59.24,19,20,1.0,1.79
Blue Tango,Leroy Anderson,1952,1,124.0,5.266666666666667,69.64179104477611,19,32,1.0,2.1999999999999997
Wheel of Fortune,Kay Starr,1952,2,141.0,2.7266666666666666,65.77722772277228,9,14,1.0,1.2333333333333334
Cry,Johnnie Ray & The Four Lads,1952,3,70.0,4.265000000000001,59.63186813186813,13,16,1.0,1.105
You Belong to Me,Jo Stafford,1952,4,102.0,3.32,63.888888888888886,16,17,1.0,0.895
Auf Wiederseh’n Sweetheart,Vera Lynn,1952,5,83.0,2.665,60.36607142857143,14,24,1.0,1.08
The Song from Moulin Rouge,Percy Faith,1953,1,109.0,4.1433333333333335,73.48849104859335,28,33,-1.0,1.3399999999999999
Vaya con Dios,Les Paul & Mary Ford,1953,2,97.0,2.296666666666667,58.31318681318681,14,15,1.0,1.4233333333333336
(How Much Is) That Doggie in the Window,Patti Page,1953,3,126.0,3.255,63.610328638497656,17,18,1.0,1.56
I'm Walking Behind You,Eddie Fisher,1953,4,83.0,4.2299999999999995,55.46212121212121,11,19,1.0,0.96
"You, You, You",Ames Brothers,1953,5,98.0,3.625,54.78666666666667,11,16,1.0,1.32
Little Things Mean a Lot,Kitty Kallen,1954,1,84.0,2.8699999999999997,60.710204081632654,11,13,1.0,1.6600000000000001
Wanted,Perry Como,1954,2,75.0,3.31,54.58695652173913,14,15,-1.0,1.4100000000000001
Hey There,Rosemary Clooney,1954,3,88.0,2.9266666666666663,62.43689320388349,13,13,-1.0,1.2366666666666666
Sh-Boom,The Crew-Cut,1954,4,130.0,2.43,58.32231404958678,10,15,-1.0,2.8200000000000003
Make Love to Me,Jo Stafford,1954,5,108.0,2.795,64.5381679389313,10,14,1.0,2.065
Cherry Pink and Apple Blossom White,Perez Prado,1955,1,118.0,3.2625,68.9882005899705,18,26,1.0,2.6275
Rock Around the Clock,Bill Haley & His Comets,1955,2,166.0,2.69,61.490566037735846,7,10,1.0,2.51
The Yellow Rose of Texas,Mitch Miller,1955,3,100.0,4.41,55.60055096418733,17,17,1.0,2.64
Autumn Leaves,Roger Williams,1955,4,108.0,4.895,68.65413533834587,19,27,-1.0,0.9550000000000001
Unchained Melody,Les Baxter,1955,5,93.0,3.8,67.94871794871794,23,41,1.0,0.96
Heartbreak Hotel,Elvis Presley,1956,1,94.0,6.24,57.55357142857143,10,20,1.0,3.1
Don't Be Cruel,Elvis Presley,1956,2,85.0,2.78,56.575471698113205,9,15,1.0,2.013333333333333
Lisbon Antigua,Nelson Riddle,1956,3,80.0,3.27,67.79885057471265,33,38,1.0,1.09
My Prayer,The Platters,1956,4,109.0,3.43,61.170212765957444,16,17,1.0,0.945
The Wayward Wind,Gogi Grant,1956,5,138.0,3.68,62.047120418848166,18,18,1.0,1.7000000000000002
All Shook Up,Elvis Presley,1957,1,74.0,2.55,57.15699658703072,8,14,1.0,2.595
Love Letters in the Sand,Pat Boone,1957,2,89.0,4.1433333333333335,58.80451127819549,26,38,1.0,0.9500000000000001
Little Darlin,The Diamonds,1957,3,153.0,3.26,62.61467889908257,9,15,1.0,1.45
Young Lover,Tab Hunter,1957,4,102.0,2.98,54.2625,9,14,1.0,1.5150000000000001
So Rare,Jimmy Dorsey,1957,5,87.0,5.145,68.21942446043165,25,38,1.0,1.7049999999999998
Volare (Nel blu dipinto di blu),Domenico Modugno,1958,1,112.0,3.02,56.37243401759531,12,16,1.0,2.0633333333333335
All I Have to Do Is Dream,The Everly Brothers,1958,2a,104.0,2.34,56.62068965517241,10,16,-1.0,1.79
Claudette,The Everly Brothers,1958,2b,156.0,2.1799999999999997,60.06686046511628,8,12,1.0,3.25
Don't,Elvis Presley,1958,3a,67.0,4.154999999999999,55.46153846153846,15,24,1.0,0.9349999999999999
I Beg of You,Elvis Presley,1958,3b,164.0,3.276666666666667,57.37903225806452,8,15,1.0,2.5466666666666664
Witch Doctor,David Seville,1958,4,139.0,2.2866666666666666,63.0739299610895,23,23,1.0,3.8966666666666665
Patricia,Perez Prado,1958,5,137.0,2.585,71.00787401574803,20,34,1.0,1.655
The Battle of New Orleans,Johnny Horton,1959,1,89.0,3.37,55.097744360902254,11,20,1.0,4.42
Mack the Knife,Bobby Darin,1959,2,85.0,2.5575,58.1985559566787,20,20,1.0,1.6025
Personality,Lloyd Price,1959,3,129.0,3.3533333333333335,61.10644257703081,12,16,1.0,1.5833333333333333
Venus,Frankie Avalon,1959,4,115.0,2.7933333333333334,53.15706806282723,12,17,1.0,1.5833333333333333
Lonely Boy,Paul Anka,1959,5,106.0,1.72,62.705357142857146,5,6,1.0,1.65
